store_key,store_id,store_name,province_id,province_name
2961,4583,BHX_HCM_HMO - 89/7 Tây Lân,1027,Thành phố Hồ Chí Minh
2962,6116,BHX_TVI_CLO - Thửa 116 Càng Long (Chợ Mỹ Huê),1030,Tỉnh Vĩnh Long
2963,10460,BHX_BPH_DPH - Kho XLCL Đồng Phú,1026,Tỉnh Đồng Nai
2964,3692,BHX_HCM_TDU - 23 Đường Số 3 Hiệp Bình Chánh,1027,Thành phố Hồ Chí Minh
2965,9149,BHX_LDO_DRO - Rômen,1025,Tỉnh Lâm Đồng
2966,28589,BHX_TNI_BLU - Kho Nhập Khẩu NECS,1028,Tỉnh Tây Ninh
2967,7337,BHX_CMA_CMA - Thửa 97 Tắc Vân,1033,Tỉnh Cà Mau
2968,6074,BHX_DON_XLO - 232 Hùng Vương (Gia Ray),1026,Tỉnh Đồng Nai
2969,4719,BHX_DON_TBO - 97 Hùng Vương,1026,Tỉnh Đồng Nai
2970,3261,BHX_HCM_TDU - 11 Tô Vĩnh Diện,1027,Thành phố Hồ Chí Minh
2971,6145,BHX_KHH_NTR - 288 Đường 2/4,1023,Tỉnh Khánh Hòa
2972,7014,BHX_BDU_BTU - Thửa 188 Bình Mỹ,1027,Thành phố Hồ Chí Minh
2973,6526,BHX_HCM_TPH - 2 Hồ Đắc Di,1027,Thành phố Hồ Chí Minh
2974,15596,BHX_BPH_DXO - Tân Đồng,1026,Tỉnh Đồng Nai
2975,14585,BHX_CTH_OMO - Long Hưng,1032,Thành phố Cần Thơ
2976,8017,BHX_LAN_DHU - Ấp 4 Mỹ Quý Tây,1028,Tỉnh Tây Ninh
2977,28855,BHX_QTR_BGI - Minh Lợi,1018,Tỉnh Quảng Trị
2978,10345,BHX_HCM_BCH - Vĩnh Lộc A (Thửa đất 686),1027,Thành phố Hồ Chí Minh
2979,2835,BHX_HCM_BTA - 63 Đường Số 29,1027,Thành phố Hồ Chí Minh
2980,14370,BHX_TVI_TVI - Long Đức,1030,Tỉnh Vĩnh Long
2981,13645,BHX_HCM_Q03 - 84 Nguyễn Thông,1027,Thành phố Hồ Chí Minh
2982,28057,BHX_NAN_QMA - Quỳnh Phương,1016,Tỉnh Nghệ An
2983,28195,BHX_NAN_TVI - Chợ Đông Vĩnh,1016,Tỉnh Nghệ An
2984,30141,BHX_HCM_VLO - A8B/46 Đường 1A,1027,Thành phố Hồ Chí Minh
2985,14133,BHX_DNA_HVA - Hoà Tiến,1020,Thành phố Đà Nẵng
2986,28074,BHX_THO_XHO - Chợ Hương,1015,Tỉnh Thanh Hóa
2987,14421,BHX_DON_TNH - Quang Trung,1026,Tỉnh Đồng Nai
2988,15057,BHX_NAN_VIN - 24 Nguyễn Sinh Sắc,1016,Tỉnh Nghệ An
2989,7715,BHX_DON_DQU - Tổ 3 Hiệp Quyết,1026,Tỉnh Đồng Nai
2990,3588,BHX_HCM_TDU - 83 Đặng Văn Bi,1027,Thành phố Hồ Chí Minh
2991,9762,BHX_KHH_NTR - 173 Thống Nhất,1023,Tỉnh Khánh Hòa
2992,7665,BHX_STR_STR - 10 Nguyễn Trung Trực,1032,Thành phố Cần Thơ
2993,30125,BHX_DNA_AHA - 95 Lê Hữu Trác,1020,Thành phố Đà Nẵng
2994,8865,BHX_HCM_TDU - 2/14 Đường số 20,1027,Thành phố Hồ Chí Minh
